,year,destiny,origin,accepted
43930,2009,Brazil,Mali,1
43931,2009,Brazil,Mauritania,0
43932,2009,Brazil,Nigeria,2
43933,2009,Brazil,Pakistan,0
43934,2009,Brazil,Palestinian,1
43935,2009,Brazil,Philippines,0
43936,2009,Brazil,Portugal,0
43937,2009,Brazil,Senegal,0
43938,2009,Brazil,Sierra Leone,1
43939,2009,Brazil,Slovakia,0
43940,2009,Brazil,Somalia,3
43941,2009,Brazil,South Africa,0
43942,2009,Brazil,Sri Lanka,1
43943,2009,Brazil,Stateless,0
43944,2009,Brazil,Sudan,3
43945,2009,Brazil,Togo,0
43946,2009,Brazil,Turkey,0
43947,2009,Brazil,Uganda,0
43948,2009,Brazil,Uruguay,0
43949,2009,Brazil,Uzbekistan,0
43950,2009,Brazil,Venezuela (Bolivarian Republic of),0
43951,2009,Brazil,Zimbabwe,2
43952,2009,British Virgin Islands,Sri Lanka,0
43953,2009,Bulgaria,Afghanistan,12
43954,2009,Bulgaria,Albania,0
43955,2009,Bulgaria,Algeria,1
43956,2009,Bulgaria,Armenia,0
43957,2009,Bulgaria,Azerbaijan,0
43958,2009,Bulgaria,Bahrain,0
43959,2009,Bulgaria,Bangladesh,0
43960,2009,Bulgaria,Belarus,0
43961,2009,Bulgaria,Bosnia and Herzegovina,0
43962,2009,Bulgaria,Burundi,0
43963,2009,Bulgaria,Cameroon,0
43964,2009,Bulgaria,Chad,0
43965,2009,Bulgaria,China,0
43966,2009,Bulgaria,Colombia,0
43967,2009,Bulgaria,Congo,0
43968,2009,Bulgaria,Cuba,0
43969,2009,Bulgaria,Côte d'Ivoire,0
43970,2009,Bulgaria,Dem. Rep. of the Congo,0
43971,2009,Bulgaria,Dominican Rep.,0
43972,2009,Bulgaria,Ecuador,0
43973,2009,Bulgaria,Egypt,0
43974,2009,Bulgaria,Eritrea,0
43975,2009,Bulgaria,Ethiopia,2
43976,2009,Bulgaria,Gambia,0
43977,2009,Bulgaria,Georgia,0
43978,2009,Bulgaria,Ghana,0
43979,2009,Bulgaria,Guinea,0
43980,2009,Bulgaria,India,0
43981,2009,Bulgaria,Iran (Islamic Rep. of),1
43982,2009,Bulgaria,Iraq,16
43983,2009,Bulgaria,Jordan,0
43984,2009,Bulgaria,Kazakhstan,0
43985,2009,Bulgaria,Kyrgyzstan,0
43986,2009,Bulgaria,Lebanon,0
43987,2009,Bulgaria,Liberia,0
43988,2009,Bulgaria,Lithuania,0
43989,2009,Bulgaria,Malaysia,0
43990,2009,Bulgaria,Mauritania,0
43991,2009,Bulgaria,Mongolia,0
43992,2009,Bulgaria,Morocco,0
43993,2009,Bulgaria,Nepal,0
43994,2009,Bulgaria,Nigeria,0
43995,2009,Bulgaria,Pakistan,0
43996,2009,Bulgaria,Peru,0
43997,2009,Bulgaria,Rep. of Moldova,0
43998,2009,Bulgaria,Russian Federation,0
43999,2009,Bulgaria,Senegal,0
44000,2009,Bulgaria,Serbia and Kosovo (S/RES/1244 (1999)),0
44001,2009,Bulgaria,Sierra Leone,0
44002,2009,Bulgaria,Somalia,0
44003,2009,Bulgaria,South Africa,0
44004,2009,Bulgaria,Sri Lanka,0
44005,2009,Bulgaria,Stateless,3
44006,2009,Bulgaria,Sudan,0
